City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
136,Necochea,AR,2020-02-23 21:19:55,-38.55,-58.74,80.01,20,0,10.0,clear sky,0.0,0.0
137,Isangel,VU,2020-02-23 21:19:29,-19.55,169.27,73.4,94,20,14.54,few clouds,0.0,0.0
138,San Policarpo,PH,2020-02-23 21:20:03,12.18,125.51,78.6,86,6,15.23,light rain,0.69,0.0
139,Naryan-Mar,RU,2020-02-23 21:16:15,67.67,53.09,30.27,80,89,28.23,overcast clouds,0.0,0.0
140,Staryy Nadym,RU,2020-02-23 21:20:04,65.61,72.68,26.28,86,100,24.56,overcast clouds,0.0,0.0
141,Sakaraha,MG,2020-02-23 21:20:04,-22.9,44.53,72.41,93,21,1.19,few clouds,0.0,0.0
142,Thurso,GB,2020-02-23 21:17:06,58.59,-3.53,37.4,74,0,9.17,clear sky,0.0,0.0
143,Mount Isa,AU,2020-02-23 21:20:04,-20.73,139.5,78.8,78,40,8.05,scattered clouds,0.0,0.0
144,Yala,TH,2020-02-23 21:20:04,6.33,101.25,70.65,98,47,3.62,scattered clouds,0.0,0.0
145,San Matias,BO,2020-02-23 21:20:05,-16.37,-58.4,75.42,78,82,4.74,broken clouds,0.0,0.0
146,Georgetown,MY,2020-02-23 21:18:00,5.41,100.34,78.8,69,20,6.93,few clouds,0.0,0.0
147,Ambovombe,MG,2020-02-23 21:20:05,-25.17,46.08,74.8,88,100,2.51,light rain,0.94,0.0
148,Lakes Entrance,AU,2020-02-23 21:20:05,-37.88,147.98,68.0,89,97,3.89,overcast clouds,0.0,0.0
149,Tura,IN,2020-02-23 21:19:46,25.52,90.22,66.15,51,33,2.24,scattered clouds,0.0,0.0
150,Rovaniemi,FI,2020-02-23 21:20:06,66.5,25.72,19.4,100,95,8.05,overcast clouds,0.0,0.0
151,Puri,IN,2020-02-23 21:20:06,19.8,85.85,68.0,94,0,4.5,mist,0.0,0.0
