City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Esperance,AU,2020-02-22 22:14:04,-33.87,121.9,64.4,88,83,4.7
172,Chicama,PE,2020-02-22 22:14:05,-7.84,-79.15,73.4,88,73,11.41
173,Pandan,PH,2020-02-22 22:14:05,14.05,124.17,78.1,81,6,17.6
174,San Ramon,US,2020-02-22 22:11:06,37.78,-121.98,73.0,55,20,11.41
175,Voyvozh,RU,2020-02-22 22:14:05,62.89,54.96,31.44,88,100,14.41
176,Souris,CA,2020-02-22 22:14:06,49.62,-100.26,30.2,68,40,8.05
177,Buluang,PH,2020-02-22 22:14:06,13.31,123.34,69.6,95,30,6.51
178,Severo-Kurilsk,RU,2020-02-22 22:14:06,50.68,156.12,7.7,89,31,0.74
179,Sanming,CN,2020-02-22 22:13:50,26.25,117.62,53.04,96,22,1.83
180,Sakakah,SA,2020-02-22 22:14:06,29.97,40.21,51.8,53,0,4.7
181,Keti Bandar,PK,2020-02-22 22:14:06,24.14,67.45,71.82,37,0,10.69
182,San Patricio,MX,2020-02-22 22:14:07,19.22,-104.7,82.4,74,20,11.41
183,Mariestad,SE,2020-02-22 22:14:07,58.71,13.82,39.2,69,28,23.04
184,Shingu,JP,2020-02-22 22:14:07,33.73,135.98,49.55,62,0,20.4
185,Baherden,TM,2020-02-22 22:14:07,38.44,57.43,52.56,68,18,9.93
186,Norman Wells,CA,2020-02-22 22:14:07,65.28,-126.83,6.8,77,75,5.82
187,Concarneau,FR,2020-02-22 22:14:08,47.88,-3.92,52.0,100,90,13.87
188,Mahibadhoo,MV,2020-02-22 22:14:08,3.78,72.97,82.65,80,63,11.27
189,Hermanus,ZA,2020-02-22 22:14:08,-34.42,19.23,66.99,89,89,1.99
190,Leningradskiy,RU,2020-02-22 22:14:08,69.38,178.42,-12.59,95,100,9.93
191,Sao Filipe,CV,2020-02-22 22:14:09,14.9,-24.5,67.42,82,84,20.85
192,Svetlogorsk,BY,2020-02-22 22:14:09,52.63,29.73,38.52,72,100,20.51
193,La Primavera,CO,2020-02-22 22:14:09,5.49,-70.41,99.14,28,77,10.49
194,Nantucket,US,2020-02-22 22:10:47,41.28,-70.1,39.2,55,1,18.34
195,Eregli,TR,2020-02-22 22:14:09,37.51,34.05,36.43,85,100,4.21
196,Souillac,MU,2020-02-22 22:11:07,-20.52,57.52,77.0,88,40,3.36
197,Namibe,AO,2020-02-22 22:14:10,-15.2,12.15,75.34,79,100,15.39
198,Carlyle,US,2020-02-22 22:14:10,38.61,-89.37,54.0,31,1,12.75
199,Yerbogachen,RU,2020-02-22 22:14:10,61.28,108.01,10.27,96,85,4.85
200,Geraldton,AU,2020-02-22 22:14:11,-28.77,114.6,71.6,78,0,5.82
201,Mahebourg,MU,2020-02-22 22:14:11,-20.41,57.7,77.0,88,40,3.36
202,Rajula,IN,2020-02-22 22:14:11,21.05,71.43,70.93,30,0,11.36
203,Ishigaki,JP,2020-02-22 22:14:11,24.34,124.16,68.0,82,40,18.34
204,Hasaki,JP,2020-02-22 22:14:11,35.73,140.83,46.4,42,20,4.7
205,Meadow Lake,US,2020-02-22 22:14:12,34.8,-106.54,48.99,93,90,0.58
206,Krabi,TH,2020-02-22 22:14:12,8.07,98.91,80.6,94,20,4.7
207,Lavrentiya,RU,2020-02-22 22:14:12,65.58,-171.0,-17.19,96,33,5.91
208,Amos,CA,2020-02-22 22:14:12,48.57,-78.12,39.2,48,40,11.41
209,Codrington,AU,2020-02-22 22:14:12,-38.27,141.97,58.05,77,0,7.23
210,Seoul,KR,2020-02-22 22:10:00,37.57,126.98,32.0,79,1,1.12
211,Bilibino,RU,2020-02-22 22:14:13,68.05,166.44,-24.41,99,100,2.44
212,Loubomo,CG,2020-02-22 22:14:13,-4.2,12.67,75.45,94,100,2.48
213,Pierre,US,2020-02-22 22:14:13,44.37,-100.35,55.0,37,1,12.75
214,Tambura,SS,2020-02-22 22:14:13,5.6,27.47,76.95,24,81,4.7
215,Biak,ID,2020-02-22 22:14:14,-0.91,122.88,81.88,77,37,12.53
216,Hamilton,US,2020-02-22 22:14:14,39.18,-84.53,50.0,19,1,11.41
217,Komsomolskiy,UZ,2020-02-22 22:14:14,40.43,71.72,42.8,86,87,6.93
218,Port Angeles,US,2020-02-22 22:11:02,48.12,-123.43,48.99,75,1,3.31
219,Chuy,UY,2020-02-22 22:14:14,-33.7,-53.46,67.87,62,31,11.77
220,Lebanon,US,2020-02-22 22:14:14,36.21,-86.29,55.0,25,1,3.36
221,Jaca,ES,2020-02-22 22:14:15,42.57,-0.55,48.99,93,0,2.24
222,Nea Fokaia,GR,2020-02-22 22:14:15,40.13,23.4,46.99,61,8,5.82
